ticket_link,account_id,ticket_id,gorgias_subdomain,ticket_date,channel,ticket_intent,ticket_intent_detail,ticket_outcome,ai_agent_billed,nb_handover_topics,handover_topics,generate_nb_relevant_resources_used,generate_nb_relevant_articles_used,generate_nb_relevant_default_guidances_used,first_message_from_shopper,AI_Agent_generated_message,post_processing_internal_note,qualify_ai_insight
https://nebuleusebijoux.gorgias.com/app/ticket/205753026,79815,205753026,nebuleusebijoux,2026-02-02,email,Order:Status,General Order Status Inquiries,Handover,false,0,[],,,,"Bonjour, 

Je me permets de vous répondre dans ce mail pour la suite de ma requête. 
J'ai rempli le formulaire comme demandé dans votre mail précédent mais je n'ai aucune nouvelle de votre service cli","Bonjour Aurore,

Merci d'avoir pris le temps de nous relancer et d'expliquer votre situation. Je comprends parfaitement que vous souhaitiez des nouvelles concernant votre demande de prise en charge sous garantie, suite à la soumission du formulaire pour la commande #885491.

Votre demande a bien été reçue et va être transmise à l'équipe spécialisée qui s'occupe des dossiers de garantie. Ils reviendront vers vous dès que possible avec une mise à jour ou des informations sur la suite du traitement.

Merci beaucoup pour votre patience et votre compréhension ✨

Belle journée à vous !",,
https://nebuleusebijoux.gorgias.com/app/ticket/205690178,79815,205690178,nebuleusebijoux,2026-02-02,email,Promotion & Discount:Issue,Discount Redemption Errors,Handover,false,0,[],,,,"Bonjour, 

Au moment du paiement, j'ai appuyé sur Shop, donc tout s'est fait automatiquement avec mes informations enregistrées. 
Je n'ai donc pas eu le temps de rentrer le code CESTCADEAU pour la liv","Bonjour Eloïse,

Merci de votre message et d’avoir partagé votre situation 🌙 Je comprends que vous n’ayez pas eu la possibilité d’entrer le code ""CESTCADEAU"" pour la livraison offerte lors de votre commande.

À ce stade, comme la commande n’a pas encore été expédiée mais a déjà été confirmée, il n’est malheureusement pas possible d’ajouter ce code après validation. Je vais transmettre votre demande à un conseiller pour étudier les solutions possibles et voir ce que nous pouvons vous proposer.

Vous recevrez bientôt un retour personnalisé !

Belle journée à vous,",,
https://nebuleusebijoux.gorgias.com/app/ticket/205693771,79815,205693771,nebuleusebijoux,2026-02-02,email,Order:Missing Item,Missing Loyalty Reward Items,Handover,false,0,[],,,,"Bonjour, 
je me permets de vous contacter au sujet d'un bijou manquant dans une de mes commandes. 

J'ai reçu vendredi dernier les 2 commandes que j'avais passé en début de semaines (896552 et 896572)","Bonjour Louann,

Merci beaucoup pour votre précision et votre patience.

Je comprends votre interrogation concernant l'offre du bijou mystère. Après une nouvelle vérification, l'offre ""bijou mystère"" était valable uniquement du 9 au 15 novembre 2025 selon nos conditions internes. Il n'y avait plus d'offre active de ce type lors de votre commande du 23 janvier 2026. Si un bijou mystère était inclus avec la commande #896572 le même jour, cela pourrait effectivement prêter à confusion — nous allons transmettre votre dossier à un membre de notre équipe pour un examen approfondi et une réponse définitive.

Merci aussi de confirmer que votre retour pour le bijou Sunny ne contiendra que ce bijou. Vous avez bien fait la démarche indiquée.

Un agent va reprendre votre demande pour un suivi spécialisé.

Belle journée à vous !",,
https://nebuleusebijoux.gorgias.com/app/ticket/205705889,79815,205705889,nebuleusebijoux,2026-02-02,email,Shipping:Delivered Not Received,Packages Marked Delivered Not Received,Snooze,false,0,[],,,,"Bonjour,

Je viens vers vous car mon colis est noté livré dans ma boite aux lettres et je n’ai rien reçu, je vous ai mis le numéro de commande pour que vous puissiez me donner plus d informations si","Bonjour Charlotte,

Merci d’avoir pris le temps de nous écrire et de nous signaler cette situation. D’après le suivi de votre commande #902761 (numéro de suivi : 2L23955069045), le colis a bien été expédié à l’adresse indiquée et est marqué comme livré dans le système de suivi. Voici le lien pour consulter le suivi : [consulter le suivi de votre colis](http://www.laposte.fr/outils/suivre-vos-envois?code=2L23955069045).

Je comprends tout à fait que cela puisse être frustrant. Afin de poursuivre l’assistance sur ce dossier, pourriez-vous, s’il vous plaît, nous envoyer une déclaration sur l’honneur manuscrite précisant la non-réception du colis, accompagnée d’une copie de votre pièce d’identité ? Dès réception de ces documents, nous pourrons faire avancer la résolution de votre situation.

Merci par avance pour votre compréhension et votre aide 🌙

Belle journée à vous !",,
https://nebuleusebijoux.gorgias.com/app/ticket/205816851,79815,205816851,nebuleusebijoux,2026-02-02,email,Order:Payment,Payment Processing Failures,Handover,false,0,[],,,,"Bonsoir 
J’ai essayé plusieurs fois de faire une commande sur votre site mais impossible ?
Pouvez-vous me dire pourquoi ?
Merci 
Envoyé de mon iPhone","Bonsoir Graça,

Merci pour les informations partagées. Malheureusement, je ne retrouve aucune commande associée à l’adresse e-mail et l’adresse de livraison que vous avez indiquées. Afin de comprendre précisément ce qui empêche le paiement et d’apporter une solution rapide, je transmets votre demande à un conseiller qui pourra vous accompagner personnellement.

Vous serez bientôt recontactée pour un suivi adapté à votre situation. Merci pour votre patience et votre confiance ✨

Belle soirée à vous,",,
https://nebuleusebijoux.gorgias.com/app/ticket/205747976,79815,205747976,nebuleusebijoux,2026-02-02,email,Shipping:Delivered Not Received,Packages Marked Delivered Not Received,Handover,false,0,[],,,,"Bonjour, 

Je vois dans Shop que ma commande a été livrée mais je ne l'ai pas reçue. 
Pouvez-vous me dire ce qu'il en est ? 

Merci 

Maggy Reibel 

---------- Forwarded message --------- 
De : Nébule","Bonjour Maggy,

Je comprends parfaitement votre inquiétude concernant le statut de votre commande qui apparaît comme ""livrée"" alors que vous ne l'avez pas reçue. D'après nos informations, la commande #903478 n’a pas encore été expédiée et reste marquée comme ""non traitée"" dans notre système, ce qui est effectivement une incohérence par rapport à l’affichage.

Pour clarifier cette situation et vous apporter une solution rapide, votre demande va être transférée à une équipe spécialisée qui va examiner en détail ce décalage et vous accompagner dans la suite de vos démarches.

Merci pour votre patience et votre compréhension 🌙",,
https://nebuleusebijoux.gorgias.com/app/ticket/205688526,79815,205688526,nebuleusebijoux,2026-02-02,email,Shipping:Delivered Not Received,Packages Marked Delivered Not Received,Handover,false,0,[],,,,"Bonjour, je vous contacte car j'ai un problème avec ma commande, elle est soi-disant livrée mais rien au point relais, que faire? Merci d'avance 
 
 
 Envoyé à partir de Outlook pour Android (https://","Bonjour Jennifer,

Je comprends que vous n'avez pas pu récupérer votre commande #895613, bien qu'elle soit indiquée comme livrée au point relais Mondial Relay avec le numéro de suivi 90142840. Il arrive parfois que Mondial Relay redirige automatiquement les colis vers un autre point relais à proximité si celui d'origine est indisponible ou complet. Une fois le colis déposé, il n'est malheureusement plus possible de le rediriger ailleurs.

Avez-vous eu l'occasion de vérifier auprès des points relais voisins ? Si le colis n'est pas récupéré dans le délai imparti, il sera automatiquement retourné.

Je vais transférer votre demande à notre équipe dédiée afin de vous proposer une solution de remboursement ou de réexpédition dès que le colis nous sera retourné, selon votre préférence.

Merci pour votre patience et votre compréhension 🌙",,
https://nebuleusebijoux.gorgias.com/app/ticket/205796333,79815,205796333,nebuleusebijoux,2026-02-02,email,Return:Request,Return Process Issues,Handover,false,1,[{v=Enquiries about reimbursements}],,,,"Bonjour, 

Pourriez-vous m'envoyer à nouveau une étiquette de retour, celle-ci est expirée. 

Je vous remercie d'avance 

Le mer. 31 déc. 2025 à 18:19, Nébuleuse Bijoux < contact@nebuleusebijoux.com>","Bonjour Jean-Michel,

Merci pour votre message. Je vais transmettre votre demande à l'équipe appropriée qui pourra vous renvoyer une nouvelle étiquette de retour. Ils reviendront vers vous rapidement pour vous aider.

N'hésitez pas à me recontacter si vous avez d'autres questions en attendant.

Belle journée à vous ✨

Bien à vous,",,"Shopper requests a new return label because the previous one expired, indicating an unresolved issue and a request for action. This matches the handover topic 'Enquiries about reimbursements ' as it relates to a return process. Conversation is not over and not pending as the shopper expects a response."
https://nebuleusebijoux.gorgias.com/app/ticket/205789927,79815,205789927,nebuleusebijoux,2026-02-02,email,Order:Wrong Item,Other,Handover,false,0,[],,,,"Bonjour, 
Je viens de recevoir ma commande numéro 897529 et il y a une petite erreur j'ai commandé une boucle Coralie argent et une Médusa argent et j'ai reçu deux fois Coralie mais pas Médusa. 
Que p","Bonjour Céline,

Merci beaucoup d'avoir pris le temps de nous écrire et de nous expliquer la situation avec votre commande.

Je vais tout de suite transférer votre dossier à une équipe dédiée pour résoudre le souci de l'article manquant. Vous serez recontactée rapidement à ce sujet.

Concernant la disponibilité des boucles Petite Avalanche et Intuition argent, il n'y a malheureusement pas de visibilité sur un prochain réassort en ligne. Je vous invite à activer l'alerte de retour en stock directement sur les pages produits pour recevoir un email dès qu'elles seront à nouveau disponibles. Vous pouvez aussi suivre la page Instagram de Nébuleuse Bijoux pour être informée des nouveautés et des prochains réassorts.

Je reste à votre écoute pour toute autre question ou si vous avez besoin d'aide supplémentaire 🌙

Belle journée à vous !",,
https://nebuleusebijoux.gorgias.com/app/ticket/205801319,79815,205801319,nebuleusebijoux,2026-02-02,email,Order:Refund,Refund Requests for Incomplete Orders and Nonreceipt,Handover,false,1,[{v=Enquiries about refunds}],,,,"Bonjour veuillez envoyer à l’adresse 
46 route de Concremiers 36370 Mauvières 
Merci d’avance cordialement 

Le mar. 20 janv. 2026 à 12:53, Service Client Nébuleuse < contact@nebuleusebijoux.com> a éc","Bonjour Marie,

Merci pour votre message et pour nous avoir communiqué votre nouvelle adresse. Je vais transmettre votre demande à l'équipe appropriée qui prendra le relais afin de vous aider à finaliser votre commande dans les meilleures conditions.

N'hésitez pas à revenir vers moi si vous avez d'autres questions en attendant.

Belle journée à vous ! ✨",,Shopper is providing a new delivery address in response to agent's options for resending the order. This indicates ongoing issue resolution and requires follow-up to confirm next steps.
